raw_read_label,sample_id,parent_dir
PAM40667_pass_barcode01_07958c60_1fcc6a32,AE000010014930,/Volumes/MR_seq_data/28210_promethion_rerun/barcode01
PAM40667_pass_barcode02_07958c60_1fcc6a32,AE00000FEC714A,/Volumes/MR_seq_data/28210_promethion_rerun/barcode02
PAM40667_pass_barcode03_07958c60_1fcc6a32,AE000010011724,/Volumes/MR_seq_data/28210_promethion_rerun/barcode03
PAM40667_pass_barcode04_07958c60_1fcc6a32,NTC_28210,/Volumes/MR_seq_data/28210_promethion_rerun/barcode04
PAM40667_pass_barcode92_07958c60_1fcc6a32,AE0000100A9532,/Volumes/MR_seq_data/28210_promethion_rerun/barcode92
PAM40667_pass_barcode93_07958c60_1fcc6a32,AE0000100A9F46,/Volumes/MR_seq_data/28210_promethion_rerun/barcode93
PAM40667_pass_barcode94_07958c60_1fcc6a32,AE00000FEC2245,/Volumes/MR_seq_data/28210_promethion_rerun/barcode94
PAM40667_pass_barcode95_07958c60_1fcc6a32,AE00001073172E,/Volumes/MR_seq_data/28210_promethion_rerun/barcode95
PAM40667_pass_barcode96_07958c60_1fcc6a32,AE0000106DC33E,/Volumes/MR_seq_data/28210_promethion_rerun/barcode96
PAK36145_pass_barcode33_3f0ca4c3,AE0000100DE93E,/Volumes/MR_seq_data/27269_air_samples/barcode33
PAK36145_pass_barcode34_3f0ca4c3,AE00001004492C,/Volumes/MR_seq_data/27269_air_samples/barcode34
PAK36145_pass_barcode35_3f0ca4c3,AE0000100A8839,/Volumes/MR_seq_data/27269_air_samples/barcode35
PAK36145_pass_barcode36_3f0ca4c3,AE0000100A8B3C,/Volumes/MR_seq_data/27269_air_samples/barcode36
PAK36145_pass_barcode37_3f0ca4c3,HC211129,/Volumes/MR_seq_data/27269_air_samples/barcode37
PAK36145_pass_barcode38_3f0ca4c3,AE0000100C3430,/Volumes/MR_seq_data/27269_air_samples/barcode38
PAK36145_pass_barcode39_3f0ca4c3,AE0000100CA130,/Volumes/MR_seq_data/27269_air_samples/barcode39
PAK36145_pass_barcode40_3f0ca4c3,AE0000100CD638,/Volumes/MR_seq_data/27269_air_samples/barcode40
PAK36145_pass_barcode41_3f0ca4c3,AE0000100CA232,/Volumes/MR_seq_data/27269_air_samples/barcode41
PAK36145_pass_barcode42_3f0ca4c3,AE0000100C7A40,/Volumes/MR_seq_data/27269_air_samples/barcode42
PAK36145_pass_barcode43_3f0ca4c3,AE0000100C702C,/Volumes/MR_seq_data/27269_air_samples/barcode43
PAK36145_pass_barcode44_3f0ca4c3,AE0000100CC536,/Volumes/MR_seq_data/27269_air_samples/barcode44
PAK36145_pass_barcode45_3f0ca4c3,AE0000100CC63D,/Volumes/MR_seq_data/27269_air_samples/barcode45
PAK36145_pass_barcode46_3f0ca4c3,AE000010795B42,/Volumes/MR_seq_data/27269_air_samples/barcode46
PAK36145_pass_barcode47_3f0ca4c3,NTC_27269_1,/Volumes/MR_seq_data/27269_air_samples/barcode47
PAK36145_pass_barcode48_3f0ca4c3,NTC_27269_2,/Volumes/MR_seq_data/27269_air_samples/barcode48
AE0000100A8B3C,AE0000100A8B3C_2,/Volumes/MR_seq_data/27789